,true_tokens,pred_tokens,t_labels,p_labels
103,Couldn't,Couldn't,O,O
104,wait,wait,O,O
105,to,to,O,O
106,leave,leave,O,O
107,and,and,O,O
108,won't,won't,O,O
109,be,be,O,O
110,going,going,O,O
111,back.Ordered,back.Ordered,O,O
112,spice,spice,O,O
113,Bros,Bros,O,O
114,by,by,O,O
115,Uber,Uber,O,O
116,eats,eats,O,O
117,.,.,O,O
118,We,We,O,O
119,tried,tried,O,O
120,the,the,O,O
121,Frankie,Frankie,B-MENU,B-MENU
122,rolls,rolls,I-MENU,I-MENU
123,",",",",O,O
124,the,the,O,O
125,palak,palak,B-MENU,B-MENU
126,paneer,paneer,I-MENU,I-MENU
127,and,and,O,O
128,Bo,Bo,B-MENU,B-MENU
129,bay,bay,I-MENU,I-MENU
130,fish,fish,I-MENU,I-MENU
131,.,.,O,O
132,It,It,O,O
133,was,was,O,O
134,really,really,O,O
135,tasty,tasty,O,O
136,and,and,O,O
137,different,different,O,O
138,.,.,O,O
139,All,All,O,O
140,the,the,O,O
141,ingredients,ingredients,O,O
142,were,were,O,O
143,great,great,O,O
144,quality,quality,O,O
145,and,and,O,O
146,the,the,O,O
147,naan,naan,B-MENU,B-MENU
148,was,was,O,O
149,delicious,delicious,O,O
150,.,.,O,O
151,I,I,O,O
152,think,think,O,O
153,I,I,O,O
154,just,just,O,O
155,prefer,prefer,O,O
156,having,having,O,O
157,regular,regular,O,O
158,Indian,Indian,O,O
159,food,food,O,O
160,but,but,O,O
161,I,I,O,O
162,understand,understand,O,O
163,the,the,O,O
164,appeal,appeal,O,O
165,.,.,O,O
166,Next,Next,O,O
167,time,time,O,O
168,I'll,I'll,O,O
169,try,try,O,O
170,the,the,O,O
171,bowls,bowls,O,O
172,",",",",O,O
173,they,they,O,O
174,seem,seem,O,O
175,to,to,O,O
176,be,be,O,O
177,really,really,O,O
178,popular.This,popular.This,O,O
179,is,is,O,O
180,one,one,O,O
181,my,my,O,O
182,favourite,favourite,O,O
183,places,places,O,O
184,to,to,O,O
185,eat,eat,O,O
186,lunch,lunch,O,O
187,.,.,O,O
188,They,They,O,O
189,make,make,O,O
190,it,it,O,O
191,perfectly,perfectly,O,O
192,every,every,O,O
193,time,time,O,O
194,.,.,O,O
195,Easy,Easy,O,O
196,and,and,O,O
197,fast,fast,O,O
198,.,.,O,O
199,Depending,Depending,O,O
200,on,on,O,O
201,the,the,O,O
202,time,time,O,O
203,you,you,O,O
204,go,go,O,O
205,if,if,O,O
206,it's,it's,O,O
207,quiet,quiet,O,O
208,it's,it's,O,O
209,a,a,O,O
210,nice,nice,O,O
211,place,place,O,O
212,to,to,O,O
213,sit,sit,O,O
214,and,and,O,O
215,eat,eat,O,O
216,.,.,O,O
217,Would,Would,O,O
218,give,give,O,O
219,more,more,O,O
220,stars,stars,O,O
221,if,if,O,O
222,possibleWell,possibleWell,O,O
223,we,we,O,O
224,been,been,O,O
225,looking,looking,O,O
226,for,for,O,O
227,great,great,O,O
228,Indian,Indian,O,O
229,food,food,O,O
230,Resturant,Resturant,O,O
231,on,on,O,O
232,the,the,O,O
233,west,west,O,O
234,.,.,O,O
235,Spice,Spice,O,O
236,Bros,Bros,O,O
237,!,!,O,O
238,!,!,O,O
239,It,It,O,O
240,is,is,O,O
241,clean,clean,O,O
242,and,and,O,O
243,the,the,O,O
244,staff,staff,O,O
245,is,is,O,O
246,helpful,helpful,O,O
247,and,and,O,O
248,friendly,friendly,O,O
249,.,.,O,O
250,We,We,O,O
251,order,order,O,O
252,3,3,O,O
253,different,different,O,O
254,Bros,Bros,O,O
255,bowls,bowls,O,O
256,.,.,O,O
257,You,You,O,O
258,start,start,O,O
259,with,with,O,O
260,rice,rice,B-MENU,B-MENU
261,",",",",O,O
262,potatoes,potatoes,O,O
263,and,and,O,O
264,or,or,O,O
265,salad,salad,B-MENU,B-MENU
266,.,.,O,O
267,Then,Then,O,O
268,you,you,O,O
269,can,can,O,O
270,add,add,O,O
271,chicken,chicken,O,O
272,(,(,O,O
273,regular,regular,O,O
274,spicy,spicy,O,O
275,or,or,O,O
276,butter,butter,O,O
277,),),O,O
278,.,.,O,O
279,They,They,O,O
280,have,have,O,O
281,a,a,O,O
282,vegetarian,vegetarian,O,O
283,version,version,O,O
284,chickpea,chickpea,B-MENU,B-MENU
285,masala,masala,I-MENU,I-MENU
286,.,.,O,O
287,The,The,O,O
288,nana,nana,O,B-MENU
289,bread,bread,O,I-MENU
290,was,was,O,O
291,amazing,amazing,O,O
292,.,.,O,O
293,The,The,O,O
294,is,is,O,O
295,were,were,O,O
296,the,the,O,O
297,local,local,O,O
298,eats,eats,O,O
299,and,and,O,O
300,Spice,Spice,O,O
301,Bros,Bros,O,O
302,is,is,O,O
303,a,a,O,O
304,sure,sure,O,O
305,hitThis,hitThis,O,O
306,place,place,O,O
307,was,was,O,O
308,amazing,amazing,O,O
309,.,.,O,O
310,I,I,O,O
311,was,was,O,O
312,visiting,visiting,O,O
313,Montreal,Montreal,O,O
314,for,for,O,O
315,a,a,O,O
316,work,work,O,O
317,trip,trip,O,O
318,for,for,O,O
319,a,a,O,O
320,full,full,O,O
321,week,week,O,O
322,and,and,O,O
323,being,being,O,O
324,vegetarian,vegetarian,O,O
325,it,it,O,O
326,limits,limits,O,O
327,the,the,O,O
328,places,places,O,O
329,the,the,O,O
330,amount,amount,O,O
331,of,of,O,O
332,places,places,O,O
333,you,you,O,O
334,can,can,O,O
335,eat,eat,O,O
336,at,at,O,O
337,especially,especially,O,O
338,late,late,O,O
339,around,around,O,O
340,8,8,O,O
341,-,-,O,O
342,9,9,O,O
343,.,.,O,O
344,I,I,O,O
345,also,also,O,O
346,same,same,O,O
347,across,across,O,O
348,the,the,O,O
349,issue,issue,O,O
350,of,of,O,O
351,not,not,O,O
352,speaking,speaking,O,O
353,French,French,O,O
354,in,in,O,O
355,a,a,O,O
356,predominantly,predominantly,O,O
357,French,French,O,O
358,area,area,O,O
359,I,I,O,O
360,love,love,O,O
361,Indian,Indian,O,O
362,food,food,O,O
363,and,and,O,O
364,was,was,O,O
365,intrigued,intrigued,O,O
366,by,by,O,O
367,the,the,O,O
368,idea,idea,O,O
369,of,of,O,O
370,this,this,O,O
371,restaurant,restaurant,O,O
372,.,.,O,O
373,After,After,O,O
374,my,my,O,O
375,first,first,O,O
376,experience,experience,O,O
377,I,I,O,O
378,fell,fell,O,O
379,in,in,O,O
380,love,love,O,O
381,.,.,O,O
382,Everything,Everything,O,O
383,was,was,O,O
384,great,great,O,O
385,and,and,O,O
386,had,had,O,O
387,amazing,amazing,O,O
388,flavor,flavor,O,O
389,!,!,O,O
390,I,I,O,O
391,had,had,O,O
392,the,the,O,O
393,Chana,Chana,B-MENU,B-MENU
394,masala,masala,I-MENU,I-MENU
395,with,with,O,O
396,potato's,potato's,O,O
397,and,and,O,O
398,every,every,O,O
399,topping,topping,O,O
400,you,you,O,O
401,could,could,O,O
402,imagine,imagine,O,O
403,!,!,O,O
404,The,The,O,O
405,sauce,sauce,B-MENU,B-MENU
406,on,on,O,O
407,top,top,O,O
408,were,were,O,O
409,all,all,O,O
410,great,great,O,O
411,I,I,O,O
412,tried,tried,O,O
413,several,several,O,O
414,.,.,O,O
415,I,I,O,O
416,literally,literally,O,O
417,ate,ate,O,O
418,here,here,O,O
419,for,for,O,O
420,3,3,O,O
421,days,days,O,O
422,straight,straight,O,O
423,and,and,O,O
424,upon,upon,O,O
425,returning,returning,O,O
426,to,to,O,O
427,Montreal,Montreal,O,O
428,will,will,O,O
429,do,do,O,O
430,the,the,O,O
431,same,same,O,O
432,.,.,O,O
433,Thanks,Thanks,O,O
434,Spice,Spice,O,O
435,bros,bros,O,O
436,for,for,O,O
437,truly,truly,O,O
438,being,being,O,O
439,one,one,O,O
440,of,of,O,O
441,a,a,O,O
442,kind,kind,O,O
443,!,!,O,O
444,Good,Good,O,O
445,food,food,O,O
446,",",",",O,O
447,but,but,O,O
448,strange,strange,O,O
449,experience,experience,O,O
450,.,.,O,O
451,The,The,O,O
452,first,first,O,O
453,time,time,O,O
454,i,i,O,O
455,went,went,O,O
456,",",",",O,O
457,I,I,O,O
458,ordered,ordered,O,O
459,the,the,O,O
460,Spinach,Spinach,B-MENU,B-MENU
461,Paneer,Paneer,I-MENU,I-MENU
462,wrap,wrap,O,O
463,thinking,thinking,O,O
464,"""","""",O,O
465,I,I,O,O
466,wonder,wonder,O,O
467,how,how,O,O
468,they,they,O,O
469,pull,pull,O,O
470,this,this,O,O
471,off,off,O,O
472,.,.,O,O
473,"""","""",O,O
474,They,They,O,O
475,didn't,didn't,O,O
476,",",",",O,O
477,all,all,O,O
478,the,the,O,O
479,filling,filling,O,O
480,immediately,immediately,O,O
481,fell,fell,O,O
482,out,out,O,O
483,of,of,O,O
484,the,the,O,O
485,wrap,wrap,O,O
486,.,.,O,O
487,The,The,O,O
488,mixed,mixed,O,O
489,vegetables,vegetables,O,O
490,were,were,O,O
491,very,very,O,O
492,salty,salty,O,O
493,.,.,O,O
494,.,.,O,O
495,.,.,O,O
496,and,and,O,O
497,not,not,O,O
498,what,what,O,O
499,I,I,O,O
500,ordered,ordered,O,O
501,.,.,O,O
502,The,The,O,O
503,food,food,O,O
504,tastes,tastes,O,O
505,good,good,O,O
506,",",",",O,O
507,but,but,O,O
508,the,the,O,O
509,concept,concept,O,O
510,needs,needs,O,O
511,some,some,O,O
512,tinkering,tinkering,O,O
513,.,.,O,O
514,The,The,O,O
515,tandoori,tandoori,B-MENU,B-MENU
516,chicken,chicken,I-MENU,I-MENU
517,wrap,wrap,O,O
518,was,was,O,O
519,pretty,pretty,O,O
520,solid,solid,O,O
521,",",",",O,O
522,and,and,O,O
523,held,held,O,O
524,together,together,O,O
525,well,well,O,O
526,too.Great,too.Great,O,O
527,food,food,O,O
528,and,and,O,O
529,super,super,O,O
530,friendly,friendly,O,O
531,staff,staff,O,O
532,.,.,O,O
533,It,It,O,O
534,was,was,O,O
535,hard,hard,O,O
536,to,to,O,O
537,see,see,O,O
538,because,because,O,O
539,of,of,O,O
540,the,the,O,O
541,renovations,renovations,O,O
542,happening,happening,O,O
543,out,out,O,O
544,side,side,O,O
545,on,on,O,O
546,the,the,O,O
547,facade,facade,O,O
548,.,.,O,O
549,I,I,O,O
550,had,had,O,O
551,the,the,O,O
552,butter,butter,B-MENU,B-MENU
553,chicken,chicken,I-MENU,I-MENU
554,wrapped,wrapped,O,O
555,in,in,O,O
556,a,a,O,O
557,garlic,garlic,B-MENU,B-MENU
558,naan,naan,I-MENU,I-MENU
559,.,.,O,O
560,It,It,O,O
561,was,was,O,O
562,delicious,delicious,O,O
563,and,and,O,O
564,definitely,definitely,O,O
565,filling,filling,O,O
566,.,.,O,O
567,The,The,O,O
568,price,price,O,O
569,was,was,O,O
570,moderate,moderate,O,O
571,but,but,O,O
572,the,the,O,O
573,food,food,O,O
574,second-to-none,second-to-none,O,O
575,.,.,O,O
576,You,You,O,O
577,won't,won't,O,O
578,leave,leave,O,O
579,there,there,O,O
580,feeling,feeling,O,O
581,hungry,hungry,O,O
582,.,.,O,O
583,A,A,O,O
584,hearty,hearty,O,O
585,lunch,lunch,O,O
586,awaits,awaits,O,O
587,you,you,O,O
588,at,at,O,O
589,Spice,Spice,O,O
590,Bros,Bros,O,O
591,.,.,O,O
592,It's,It's,O,O
593,worth,worth,O,O
594,the,the,O,O
595,trip,trip,O,O
596,.,.,O,O
597,.,.,O,O
598,Food,Food,O,O
599,is,is,O,O
600,great,great,O,O
601,",",",",O,O
602,authentic,authentic,O,O
603,with,with,O,O
604,a,a,O,O
605,modern,modern,O,O
606,twist,twist,O,O
607,.,.,O,O
608,Seating,Seating,O,O
609,and,and,O,O
610,theme,theme,O,O
611,of,of,O,O
612,the,the,O,O
613,restaurant,restaurant,O,O
614,is,is,O,O
615,perfect.This,perfect.This,O,O
616,is,is,O,O
617,a,a,O,O
618,franchise,franchise,O,O
619,waiting,waiting,O,O
620,to,to,O,O
621,happen,happen,O,O
622,.,.,O,O
623,Interesting,Interesting,O,O
624,twists,twists,O,O
625,on,on,O,O
626,some,some,O,O
627,South,South,O,O
628,Asian,Asian,O,O
629,staples,staples,O,O
630,.,.,O,O
631,Try,Try,O,O
632,the,the,O,O
633,tandoori,tandoori,B-MENU,B-MENU
634,or,or,O,O
635,butter,butter,B-MENU,B-MENU
636,chicken,chicken,I-MENU,I-MENU
637,wraps,wraps,O,O
638,for,for,O,O
639,starters,starters,O,O
640,.,.,O,O
641,Play,Play,O,O
642,with,with,O,O
643,the,the,O,O
644,menu,menu,O,O
645,and,and,O,O
646,enjoy.Great,enjoy.Great,O,O
647,ambiance,ambiance,O,O
648,",",",",O,O
649,friendly,friendly,O,O
650,staff,staff,O,O
651,and,and,O,O
652,a,a,O,O
653,great,great,O,O
654,modern,modern,O,O
655,twist,twist,O,O
656,on,on,O,O
657,Indian,Indian,O,O
658,cuisine,cuisine,O,O
659,.,.,O,O
660,Recommend,Recommend,O,O
661,100,100,O,O
662,%,%,O,O
663,!,!,O,O
664,Absolutely,Absolutely,O,O
665,amazing,amazing,O,O
666,!,!,O,O
667,When,When,O,O
668,I'm,I'm,O,O
669,in,in,O,O
670,the,the,O,O
671,area,area,O,O
672,its,its,O,O
673,my,my,O,O
674,go,go,O,O
675,to,to,O,O
676,place,place,O,O
677,to,to,O,O
678,grab,grab,O,O
679,a,a,O,O
680,bite,bite,O,O
681,.,.,O,O
682,Potatoe,Potatoe,O,O
683,bowls,bowls,O,O
684,are,are,O,O
685,amazing,amazing,O,O
686,and,and,O,O
687,their,their,O,O
688,spicy,spicy,O,O
689,sauce,sauce,B-MENU,O
690,is,is,O,O
691,bomb.Love,bomb.Love,O,O
692,the,the,O,O
693,modern,modern,O,O
694,take,take,O,O
695,on,on,O,O
696,traditional,traditional,O,O
697,Indian,Indian,O,O
698,food,food,O,O
699,",",",",O,O
700,the,the,O,O
701,food,food,O,O
702,was,was,O,O
703,delicious,delicious,O,O
704,but,but,O,O
705,I,I,O,O
706,have,have,O,O
707,to,to,O,O
708,deduct,deduct,O,O
709,one,one,O,O
710,point,point,O,O
711,because,because,O,O
712,the,the,O,O
713,soda,soda,O,O
714,bottles,bottles,O,O
715,had,had,O,O
716,a,a,O,O
717,rusty,rusty,O,O
718,rim,rim,O,O
719,for,for,O,O
720,some,some,O,O
721,reason,reason,O,O
722,",",",",O,O
723,my,my,O,O
724,advise,advise,O,O
725,is,is,O,O
726,staying,staying,O,O
727,away,away,O,O
728,from,from,O,O
729,Soda's,Soda's,O,O
730,and,and,O,O
731,get,get,O,O
732,water,water,O,O
733,or,or,O,O
734,another,another,O,O
735,drinkAmazing,drinkAmazing,O,O
736,and,and,O,O
737,simply,simply,O,O
738,delicious,delicious,O,O
739,",",",",O,O
740,you,you,O,O
741,can,can,O,O
742,now,now,O,O
743,find,find,O,O
744,the,the,O,O
745,asian,asian,O,O
746,trendy,trendy,O,O
747,pokebowls,pokebowls,O,O
748,with,with,O,O
749,bursting,bursting,O,O
750,indian,indian,O,O
751,flavors,flavors,O,O
752,.,.,O,O
753,Do,Do,O,O
754,not,not,O,O
755,underestimate,underestimate,O,O
756,these,these,O,O
757,bowls,bowls,O,O
758,they,they,O,O
759,truly,truly,O,O
760,will,will,O,O
761,fill,fill,O,O
762,you,you,O,O
763,up,up,O,O
764,.,.,O,O
765,Their,Their,O,O
766,naans,naans,B-MENU,B-MENU
767,are,are,O,O
768,tasty,tasty,O,O
769,and,and,O,O
770,served,served,O,O
771,warm,warm,O,O
772,:,:,O,O
773,-,-,O,O
774,),),O,O
775,!,!,O,O
776,Plenty,Plenty,O,O
777,of,of,O,O
778,parking,parking,O,O
779,and,and,O,O
780,very,very,O,O
781,accessible,accessible,O,O
782,.,.,O,O
783,The,The,O,O
784,seating,seating,O,O
785,area,area,O,O
786,is,is,O,O
787,not,not,O,O
788,very,very,O,O
789,big,big,O,O
790,you,you,O,O
791,might,might,O,O
792,want,want,O,O
793,to,to,O,O
794,grab,grab,O,O
795,a,a,O,O
796,table,table,O,O
797,if,if,O,O
798,available,available,O,O
799,before,before,O,O
800,your,your,O,O
801,order,order,O,O
802,.,.,O,O
803,Very,Very,O,O
804,modern,modern,O,O
805,design,design,O,O
806,and,and,O,O
807,friendly,friendly,O,O
808,staff,staff,O,O
809,Tasty,Tasty,O,O
810,and,and,O,O
811,hearty,hearty,O,O
812,will,will,O,O
813,be,be,O,O
814,going,going,O,O
815,back,back,O,O
816,soonSooo,soonSooo,O,O
817,goood,goood,O,O
818,.,.,O,O
819,So,So,O,O
820,flavourful,flavourful,O,O
821,and,and,O,O
822,the,the,O,O
823,naan,naan,B-MENU,B-MENU
824,bread,bread,I-MENU,I-MENU
825,is,is,O,O
826,amazing,amazing,O,O
827,.,.,O,O
828,Such,Such,O,O
829,a,a,O,O
830,great,great,O,O
831,idea,idea,O,O
832,to,to,O,O
833,have,have,O,O
834,a,a,O,O
835,fast,fast,O,O
836,food,food,O,O
837,Indian,Indian,O,O
838,restaurant,restaurant,O,O
839,.,.,O,O
840,Definitely,Definitely,O,O
841,recommendMade,recommendMade,O,O
842,my,my,O,O
843,order,order,O,O
844,on,on,O,O
845,Uber,Uber,O,O
846,eats,eats,O,O
847,.,.,O,O
848,Had,Had,O,O
849,tandoori,tandoori,B-MENU,B-MENU
850,chicken,chicken,I-MENU,I-MENU
851,wrapped,wrapped,O,O
852,in,in,O,O
853,nana,nana,O,B-MENU
854,bread,bread,O,I-MENU
855,with,with,O,O
856,veggies,veggies,O,B-MENU
857,and,and,O,O
858,rice,rice,B-MENU,B-MENU
859,.,.,O,O
860,Pretty,Pretty,O,O
861,much,much,O,O
862,an,an,O,O
863,Indian,Indian,B-MENU,O
864,style,style,I-MENU,O
865,burrito,burrito,I-MENU,B-MENU
866,that,that,O,O
867,was,was,O,O
868,fresh,fresh,O,O
869,and,and,O,O
870,delicious,delicious,O,O
871,.,.,O,O
872,Great,Great,O,O
873,home,home,O,O
874,made,made,O,O
875,lentil,lentil,B-MENU,B-MENU
876,soup,soup,I-MENU,I-MENU
877,all,all,O,O
878,for,for,O,O
879,under,under,O,O
880,20,20,O,O
881,bucks,bucks,O,O
882,.,.,O,O
883,My,My,O,O
884,new,new,O,O
885,favourite,favourite,O,O
886,place,place,O,O
887,for,for,O,O
888,lunch,lunch,O,O
889,in,in,O,O
890,the,the,O,O
891,west,west,O,O
892,.,.,O,O
893,Can't,Can't,O,O
894,wait,wait,O,O
895,to,to,O,O
896,explore,explore,O,O
897,the,the,O,O
898,rest,rest,O,O
899,of,of,O,O
900,their,their,O,O
901,menu.Amazing,menu.Amazing,O,O
902,food,food,O,O
903,and,and,O,O
904,amazing,amazing,O,O
905,service,service,O,O
906,.,.,O,O
907,Loved,Loved,O,O
908,iiitttttThe,iiitttttThe,O,O
909,place,place,O,O
910,was,was,O,O
911,fantastic,fantastic,O,O
912,.,.,O,O
913,Trendy,Trendy,O,O
914,and,and,O,O
915,modern,modern,O,O
916,!,!,O,O
917,The,The,O,O
918,food,food,O,O
919,was,was,O,O
920,great,great,O,O
921,!,!,O,O
922,Really,Really,O,O
923,flavoured,flavoured,O,O
924,and,and,O,O
925,fresh,fresh,O,O
926,.,.,O,O
927,Little,Little,O,O
928,downside,downside,O,O
929,is,is,O,O
930,the,the,O,O
931,spicy,spicy,B-MENU,O
932,sauce,sauce,I-MENU,O
933,is,is,O,O
934,not,not,O,O
935,spicy,spicy,O,O
936,like,like,O,O
937,in,in,O,O
938,other,other,O,O
939,Indian,Indian,O,O
940,restaurants,restaurants,O,O
941,but,but,O,O
942,other,other,O,O
943,than,than,O,O
944,that,that,O,O
945,really,really,O,O
946,enjoyed,enjoyed,O,O
947,the,the,O,O
948,place.SpiceBros,place.SpiceBros,O,O
949,is,is,O,O
950,a,a,O,O
951,great,great,O,O
952,addition,addition,O,O
953,to,to,O,O
954,Centennial,Centennial,O,O
955,Plaza,Plaza,O,O
956,",",",",O,O
957,right,right,O,O
958,next,next,O,O
959,to,to,O,O
960,Baskin-Robins,Baskin-Robins,O,O
961,.,.,O,O
962,Ok,Ok,O,O
963,",",",",O,O
964,they,they,O,O
965,don't,don't,O,O
966,make,make,O,O
967,chaat,chaat,B-MENU,B-MENU
968,like,like,O,O
969,my,my,O,O
970,mother,mother,O,O
971,does,does,O,O
972,",",",",O,O
973,but,but,O,O
974,no,no,O,O
975,one,one,O,O
976,else,else,O,O
977,does,does,O,O
978,either.The,either.The,O,O
979,food,food,O,O
980,is,is,O,O
981,good,good,O,O
982,and,and,O,O
983,hearthy,hearthy,O,O
984,",",",",O,O
985,well,well,O,O
986,worth,worth,O,O
987,the,the,O,O
988,price,price,O,O
989,!,!,O,O
990,On,On,O,O
991,my,my,O,O
992,list,list,O,O
993,of,of,O,O
994,places,places,O,O
995,to,to,O,O
996,go,go,O,O
997,.,.,O,O
998,All,All,O,O
999,the,the,O,O
1000,plaza,plaza,O,O
1001,needs,needs,O,O
1002,now,now,O,O
1003,is,is,O,O
1004,a,a,O,O
1005,video,video,O,O
1006,arcade.Tried,arcade.Tried,O,O
1007,their,their,O,O
1008,chili,chili,B-MENU,B-MENU
1009,chicken,chicken,I-MENU,I-MENU
1010,bro,bro,O,I-MENU
1011,bowl,bowl,O,O
1012,with,with,O,O
1013,grilled,grilled,O,B-MENU
1014,vegetables,vegetables,O,I-MENU
1015,and,and,O,O
1016,was,was,O,O
1017,disappointed,disappointed,O,O
1018,.,.,O,O
1019,The,The,O,O
1020,veges,veges,O,O
1021,weren't,weren't,O,O
1022,grilled,grilled,O,O
1023,",",",",O,O
1024,more,more,O,O
1025,sautéed,sautéed,O,O
1026,.,.,O,O
1027,And,And,O,O
1028,the,the,O,O
1029,chili,chili,B-MENU,B-MENU
1030,sauce,sauce,I-MENU,I-MENU
1031,is,is,O,O
1032,layered,layered,O,O
1033,on,on,O,O
1034,top,top,O,O
1035,of,of,O,O
1036,plain,plain,O,B-MENU
1037,chicken,chicken,O,I-MENU
1038,",",",",O,O
1039,thought,thought,O,O
1040,it,it,O,O
1041,would,would,O,O
1042,be,be,O,O
1043,already,already,O,O
1044,in,in,O,O
1045,the,the,O,O
1046,sauce,sauce,B-MENU,O
1047,.,.,O,O
1048,They,They,O,O
1049,use,use,O,O
1050,the,the,O,O
1051,same,same,O,O
1052,chicken,chicken,O,O
1053,as,as,O,O
1054,the,the,O,O
1055,butter,butter,B-MENU,B-MENU
1056,chicken,chicken,I-MENU,I-MENU
1057,.,.,O,O
1058,Staff,Staff,O,O
1059,was,was,O,O
1060,great,great,O,O
1061,though,though,O,O
1062,in,in,O,O
1063,explaining,explaining,O,O
1064,the,the,O,O
1065,menu,menu,O,O
1066,options.Nice,options.Nice,O,O
1067,place,place,O,O
1068,and,and,O,O
1069,definitely,definitely,O,O
1070,a,a,O,O
1071,different,different,O,O
1072,take,take,O,O
1073,on,on,O,O
1074,Indian,Indian,O,O
1075,food,food,O,O
1076,than,than,O,O
1077,what's,what's,O,O
1078,in,in,O,O
1079,the,the,O,O
1080,hood,hood,O,O
1081,.,.,O,O
1082,I,I,O,O
1083,hope,hope,O,O
1084,they,they,O,O
1085,do,do,O,O
1086,really,really,O,O
1087,well,well,O,O
1088,.,.,O,O
1089,One,One,O,O
1090,downside,downside,O,O
1091,is,is,O,O
1092,that,that,O,O
1093,once,once,O,O
1094,it,it,O,O
1095,starts,starts,O,O
1096,getting,getting,O,O
1097,dark,dark,O,O
1098,",",",",O,O
1099,the,the,O,O
1100,sign,sign,O,O
1101,is,is,O,O
1102,difficult,difficult,O,O
1103,to,to,O,O
1104,see,see,O,O
1105,.,.,O,O
1106,I'll,I'll,O,O
1107,be,be,O,O
1108,back,back,O,O
1109,for,for,O,O
1110,mroe.Lovely,mroe.Lovely,O,O
1111,original,original,O,O
1112,take,take,O,O
1113,on,on,O,O
1114,Power,Power,O,O
1115,bowl,bowl,O,O
1116,.,.,O,O
1117,Great,Great,O,O
1118,choice,choice,O,O
1119,of,of,O,O
1120,veggies,veggies,O,O
1121,and,and,O,O
1122,sides,sides,O,O
1123,",",",",O,O
1124,sauces,sauces,B-MENU,B-MENU
1125,and,and,O,O
1126,optional,optional,O,O
1127,ingredients,ingredients,O,O
1128,.,.,O,O
1129,Samosa,Samosa,B-MENU,B-MENU
1130,are,are,O,O
1131,terrific,terrific,O,O
1132,and,and,O,O
1133,well,well,O,O
1134,worth,worth,O,O
1135,2,2,O,O
1136,$,$,O,O
1137,.,.,O,O
1138,Staff,Staff,O,O
1139,is,is,O,O
1140,friendly,friendly,O,O
1141,and,and,O,O
1142,atmosphere,atmosphere,O,O
1143,is,is,O,O
1144,relaxed,relaxed,O,O
1145,and,and,O,O
1146,casual,casual,O,O
1147,.,.,O,O
1148,Addicted,Addicted,O,O
1149,go,go,O,O
1150,once,once,O,O
1151,a,a,O,O
1152,week.Being,week.Being,O,O
1153,out,out,O,O
1154,of,of,O,O
1155,the,the,O,O
1156,way,way,O,O
1157,for,for,O,O
1158,us,us,O,O
1159,South-Shorers,South-Shorers,O,O
1160,",",",",O,O
1161,I,I,O,O
1162,grabbed,grabbed,O,O
1163,the,the,O,O
1164,opportunity,opportunity,O,O
1165,of,of,O,O
1166,visiting,visiting,O,O
1167,Spice,Spice,O,O
1168,Bros,Bros,O,O
1169,after,after,O,O
