-DOCSTART- -X- -X- O
deserve VB B-VP O
even RB I-VP O
a DT B-NP O
one CD I-NP O
star NN I-NP O
. . O O
. . O O
. . O O
We PRP B-NP O
started VBD B-VP O
with IN B-PP O
a DT B-NP O
mix NN I-NP B-MENU
platter NN I-NP I-MENU
which WDT B-NP O
had VBD B-VP O
all DT B-NP O
kinds NNS I-NP O
of IN B-PP O
different JJ B-NP O
meats NNS I-NP O
and CC O O
veggies NNS B-NP O
. . O O
it PRP B-NP O
was VBD B-VP O
all DT B-NP O
delicious JJ I-NP O
. . O O

As IN B-PP O
a DT B-NP O
main JJ I-NP O
meal NN I-NP O
i NN I-NP O
got VBD B-VP O
the DT B-NP O
butter NN I-NP B-MENU
chicken NN I-NP I-MENU
, , O O
rice NN B-NP B-MENU
and CC O O
garlic JJ B-NP B-MENU
naan JJ I-NP I-MENU
bread NN I-NP I-MENU
. . O O
it PRP B-NP O
is VBZ B-VP O
also RB I-VP O
BYOW NNP B-NP O
which WDT B-NP O
is VBZ B-VP O
always RB I-VP O
a DT B-NP O
plus NN I-NP O
. . O O

It PRP B-NP O
was VBD B-VP O
my PRP$ B-NP O
first JJ I-NP O
time NN I-NP O
going VBG B-VP O
and CC I-VP O
i VB I-VP O
will MD B-VP O
definitely RB I-VP O
be VB I-VP O
going VBG I-VP O
back RB O O
next JJ B-NP O
time NN I-NP O
i JJ I-NP O
'm VBP B-VP O
in IN B-PP O
the DT B-NP O
mood NN I-NP O
for IN B-PP O
some DT B-NP O
indian JJ I-NP O
food NN I-NP O
. . O O

Je NNP B-NP O
conseille NN I-NP O
les VBZ B-VP O
menus CC I-VP O
découverte VB I-VP O
pour JJ B-NP O
goûter NN I-NP O
à NNP I-NP O
plusieurs VBZ B-VP O
mets NNS B-NP O
différents NNS I-NP O
. . O O

Je NNP B-NP O
prefere RB O O
le VBZ B-VP O
boeuf JJ B-NP O
épicé NNP I-NP O
avec NN I-NP O
un JJ I-NP O
plat NN I-NP O
de IN B-PP O
riz NN B-NP O
. . O O

Tres NNS B-NP O
bon VBP B-VP O
choix NN B-NP O
de FW I-NP O
resto FW I-NP O
dans NNS I-NP O
la VBP B-VP O
pointe JJ B-NP O
St-Charles NNP I-NP O
good JJ I-NP O
food NN I-NP O
- : O O
shitty JJ B-NP O
customer NN I-NP O
service NN I-NP O
. . O O

they PRP B-NP O
had VBD B-VP O
forgot VBN I-VP O
part NN B-NP O
of IN B-PP O
my PRP$ B-NP O
order NN I-NP O
and CC O O
said VBD B-VP O
they PRP B-NP O
would MD B-VP O
`` `` O O
give VB B-VP O
it PRP B-NP O
to TO B-VP O
me PRP B-NP O
next JJ I-NP O
time NN I-NP O
`` `` O O
and CC O O
refused VBD B-VP O
to TO I-VP O
bring VB I-VP O
it PRP B-NP O
. . O O

never RB O O
ordering VBG B-VP O
from IN B-PP O
them PRP B-NP O
again RB O O
. . O O

Great NNP B-NP O
Indian JJ I-NP O
food NN I-NP O
, , O O
the DT B-NP O
beef NN I-NP B-MENU
korma NN I-NP I-MENU
is VBZ B-VP O
delicious JJ B-NP O
. . O O

We PRP B-NP O
did VBD B-VP O
have VB I-VP O
an DT B-NP O
off RP O O
night NN B-NP O
with IN B-PP O
them PRP B-NP O
, , O O
once RB O O
, , O O
but CC O O
we PRP B-NP O
complained VBD B-VP O
and CC I-VP O
they PRP B-NP O
offered VBD B-VP O
us PRP B-NP O
a DT I-NP O
free JJ I-NP O
meal NN I-NP O
. . O O

The DT B-NP O
service NN I-NP O
is VBZ B-VP O
fantastic JJ B-NP O
. . O O

I PRP B-NP O
ordered VBD B-VP O
the DT B-NP O
discovery NN I-NP O
menu NN I-NP O
B NNP I-NP O
, , O O
including VBG B-VP O
samosas NN B-NP B-MENU
, , O O
chicken NN B-NP B-MENU
, , O O
veggies NNS B-NP O
and CC O O
a DT B-NP O
small JJ I-NP O
dessert NN I-NP O
. . O O

I PRP B-NP O
could MD B-VP O
n't RB I-VP O
finish VB I-VP O
it PRP B-NP O
all DT I-NP O
! . O O

Except IN B-PP O
for IN B-PP O
the DT B-NP O
chicken NN I-NP B-MENU
, , O O
which WDT B-NP O
was VBD B-VP O
too RB I-VP O
salty JJ B-NP O
to TO B-VP O
my PRP$ B-NP O
taste NN I-NP O
, , O O
the DT B-NP O
food NN I-NP O
was VBD B-VP O
nice JJ B-NP O
. . O O

My PRP$ B-NP O
girlfriend NN I-NP O
and CC O O
I PRP B-NP O
have VBP B-VP O
ordered VBN I-VP O
from IN B-PP O
Cari NNP B-NP O
Mela NNP I-NP O
about IN B-PP O
four CD B-NP O
or CC O O
five CD B-NP O
times NNS I-NP O
over IN B-PP O
the DT B-NP O
past JJ I-NP O
few JJ I-NP O
months NNS I-NP O
, , O O
and CC O O
we PRP B-NP O
have VBP B-VP O
never RB I-VP O
been VBN I-VP O
disappointed VBN I-VP O
; : O O
the DT B-NP O
service NN I-NP O
is VBZ B-VP O
always RB I-VP O
good JJ B-NP O
and CC O O
the DT B-NP O
food NN I-NP O
is VBZ B-VP O
always RB I-VP O
delicious JJ B-NP O
, , O O
and CC O O
delivery NN B-NP O
is VBZ B-VP O
always RB I-VP O
quick JJ B-NP O
. . O O

We PRP B-NP O
moved VBD B-VP O
to TO I-VP O
Pt NNP B-NP O
. . O O

St NNP B-NP O
. . O O

Charles NNP B-NP O
last JJ I-NP O
summer NN I-NP O
, , O O
and CC O O
sadly RB O O
this DT B-NP O
is VBZ B-VP O
the DT B-NP O
only JJ I-NP O
decent JJ I-NP O
restaurant NN I-NP O
we PRP B-NP O
have VBP B-VP O
found VBN I-VP O
in IN B-PP O
the DT B-NP O
local JJ I-NP O
area NN I-NP O
( ( O O
except IN B-PP O
Machiavelli NNP B-NP O
, , O O
which WDT B-NP O
a DT I-NP O
fantastic JJ I-NP O
place NN I-NP O
as RB O O
well RB O O
! . O O
) ) O O
. . O O

We PRP B-NP O
will MD B-VP O
be VB I-VP O
moving VBG I-VP O
out IN B-PP O
of IN B-PP O
the DT B-NP O
neighbourhood NN I-NP O
this DT B-NP O
coming VBG I-NP O
summer NN I-NP O
to TO B-VP O
head VB I-VP O
back RB O O
to TO B-VP O
the DT B-NP O
plateau NN I-NP O
( ( O O
we PRP B-NP O
want VBP B-VP O
something NN B-NP O
more RBR I-NP O
lively RB O O
) ) O O
but CC O O
I PRP B-NP O
have VBP B-VP O
to TO I-VP O
say VB I-VP O
that IN B-PP O
Cari NNP B-NP O
Mela NNP I-NP O
will MD B-VP O
be VB I-VP O
one CD B-NP O
thing NN I-NP O
I PRP B-NP O
will MD B-VP O
miss VB I-VP O
about IN B-PP O
living NN B-NP O
here RB O O
! . O O

The DT B-NP O
only JJ I-NP O
thing NN I-NP O
better RBR O O
than IN B-PP O
a DT B-NP O
3 CD I-NP O
hour NN I-NP O
Golden NNP I-NP O
Girls NNP I-NP O
marathon NN I-NP O
when WRB O O
you PRP B-NP O
're VBP B-VP O
feeling VBG I-VP O
socially RB O O
tapped VBN B-VP O
out RP O O
is VBZ B-VP O
a DT B-NP O
copious JJ I-NP O
amount NN I-NP O
of IN B-PP O
Indian JJ B-NP O
food NN I-NP O
delivered VBN B-VP O
right RB I-VP O
to TO I-VP O
your PRP$ B-NP O
door NN I-NP O
. . O O

I PRP B-NP O
discovered VBD B-VP O
Cari NNP B-NP O
Mela NNP I-NP O
about IN B-PP O
2 CD B-NP O
months NNS I-NP O
ago IN B-PP O
coming VBG B-VP O
home NN B-NP O
from IN B-PP O
a DT B-NP O
gruelling VBG I-NP O
Advisory NNP I-NP O
Committee NNP I-NP O
meeting NN I-NP O
that WDT B-NP O
had VBD B-VP O
me PRP B-NP O
obsessing VBG I-NP O
about IN B-PP O
the DT B-NP O
Bilbo NNP I-NP O
Baggins NNP I-NP O
quote NN I-NP O
: : O O
`` `` O O
I PRP B-NP O
feel VBP B-VP O
. . O O
. . O O
. . O O
thin JJ B-NP O
. . O O

Like IN B-PP O
butter NN B-NP O
scraped VBD B-VP O
over IN B-PP O
too RB B-NP O
much JJ I-NP O
bread NN I-NP B-MENU
. . O O
`` `` O O

I PRP B-NP O
got VBD B-VP O
home NN B-NP O
, , O O
went VBD B-VP O
online NN B-NP O
, , O O
ordered VBD B-VP O
from IN B-PP O
Cari NNP B-NP O
Mela NNP I-NP O
and CC O O
it PRP B-NP O
was VBD B-VP O
good JJ B-NP O
. . O O

So RB O O
last JJ B-NP O
nite JJ I-NP O
, , O O
same JJ B-NP O
deal NN I-NP O
. . O O

I PRP B-NP O
got VBD B-VP O
home RB I-VP O
from IN B-PP O
the DT B-NP O
Folk NNP I-NP O
Fest NNP I-NP O
on IN B-PP O
the DT B-NP O
canal NN I-NP O
and CC O O
called VBN B-VP O
in IN B-PP O
Cari NNP B-NP O
Mela NNP I-NP O
. . O O

Thirty NN B-NP O
minutes NNS I-NP O
later RB O O
, , O O
I PRP B-NP O
'm VBP B-VP O
chatting VBG I-VP O
it PRP B-NP O
up IN B-PP O
with IN B-PP O
my PRP$ B-NP O
room NN I-NP O
mate NN I-NP O
, , O O
dishing VBG B-VP O
out RP O O
a DT B-NP O
sizeable JJ I-NP O
portion NN I-NP O
of IN B-PP O
Aloo NNP B-NP B-MENU
Gobi NNP I-NP I-MENU
( ( O O
potatoes NNS B-NP O
and CC O O
cauliflower NN B-NP O
) ) O O
, , O O
Sag NNP B-NP B-MENU
Aloo NNP I-NP I-MENU
( ( O O
yummy JJ B-NP O
spinash NN I-NP O
) ) O O
, , O O
Chana NNP B-NP B-MENU
Bhuna NNP I-NP I-MENU
( ( O O
chickpea JJ B-NP B-MENU
dish NN I-NP O
) ) O O
, , O O
some DT B-NP O
garlic JJ I-NP B-MENU
and CC O I-MENU
hot JJ B-NP I-MENU
pepper NN I-NP I-MENU
rice NN I-NP I-MENU
as RB O O
well RB O O
as IN B-PP O
some DT B-NP O
naan NN I-NP B-MENU
and CC O O
puri NN B-NP B-MENU
. . O O

First JJ B-NP O
thing NN I-NP O
I PRP B-NP O
notice VBP B-VP O
is VBZ I-VP O
man NN B-NP O
, , O O
this DT B-NP O
is VBZ B-VP O
really RB I-VP O
salty JJ B-NP O
. . O O

And CC O O
that DT B-NP O
's VBZ B-VP O
saying VBG I-VP O
a DT B-NP O
lot NN I-NP O
. . O O

As IN B-PP O
a DT B-NP O
general JJ I-NP O
habit NN I-NP O
, , O O
I PRP B-NP O
believe VBP B-VP O
in IN B-PP O
rigorously RB B-NP O
salting VBG I-NP O
everything NN I-NP O
I PRP B-NP O
eat VBP B-VP O
above IN B-PP O
and CC I-PP O
beyond IN B-PP O
whatever WDT B-NP O
went VBD B-VP O
into IN B-PP O
it PRP B-NP O
while IN B-PP O
cooking VBG B-VP O
. . O O

So RB O O
yeah RB O O
, , O O
if IN B-PP O
I PRP B-NP O
think VBP B-VP O
this DT B-NP O
is VBZ B-VP O
salty NN B-NP O
, , O O
it PRP B-NP O
totally RB O O
is VBZ B-VP O
( ( O O
fact NN B-NP O
confirmed VBN I-NP O
by IN B-PP O
my PRP$ B-NP O
room NN I-NP O
mate NN I-NP O
) ) O O
. . O O

Still RB O O
- : O O
just RB O O
cause VB B-VP O
it PRP B-NP O
's VBZ B-VP O
salty NN B-NP O
, , O O
does VBZ B-VP O
n't RB I-VP O
mean VB I-VP O
it PRP B-NP O
is VBZ B-VP O
n't RB I-VP O
a DT B-NP O
yummy JJ I-NP O
rewarding NN I-NP O
experience NN I-NP O
. . O O
. . O O
. . O O

The DT B-NP O
Aloo NNP I-NP B-MENU
Gobi NNP I-NP I-MENU
was VBD B-VP O
just RB I-VP O
fine JJ B-NP O
in IN B-PP O
my PRP$ B-NP O
book NN I-NP O
. . O O

Nice NNP B-NP O
greasy NN I-NP O
sauce NN I-NP B-MENU
and CC O O
thick NN B-NP O
well RB O O
cooked JJ B-NP O
chunks NNS I-NP O
of IN B-PP O
patates NNS B-NP O
and CC O O
cauliflower NN B-NP O
. . O O

Same NN B-NP O
with IN B-PP O
the DT B-NP O
Sag NNP I-NP B-MENU
Aloo NNP I-NP I-MENU
and CC O O
the DT B-NP O
Chana NNP I-NP B-MENU
Bhuna NNP I-NP I-MENU
. . O O

Both DT B-NP O
super JJ I-NP O
oily RB O O
and CC O O
flavourful JJ B-NP O
and CC O O
went VBD B-VP O
a DT B-NP O
long JJ I-NP O
way NN I-NP O
towards IN B-PP O
healing VBG B-VP O
the DT B-NP O
remainder NN I-NP O
of IN B-PP O
the DT B-NP O
morning NN I-NP O
's POS B-NP O
hangover NN I-NP O
. . O O

The DT B-NP O
breads NNS I-NP B-MENU
were VBD B-VP O
alright RB I-VP O
. . O O
. . O O
. . O O

Nice NNP B-NP O
thick JJ I-NP O
chunk NN I-NP O
of IN B-PP O
naan NN B-NP B-MENU
( ( O O
I PRP B-NP O
would MD B-VP O
have VB I-VP O
appreciated VBN I-VP O
it PRP B-NP O
more RBR I-NP O
if IN B-PP O
it PRP B-NP O
had VBD B-VP O
been VBN I-VP O
oiled-up JJ B-NP O
- : O O
but CC O O
whatev IN B-PP O
- : O O
I PRP B-NP O
have VBP B-VP O
oil NN B-NP O
at IN B-PP O
home NN B-NP O
) ) O O
and CC O O
the DT B-NP O
weirdest JJS I-NP O
, , O O
flatest JJS O O
, , O O
least-greasy JJ B-NP O
puri NN I-NP O
I PRP B-NP O
've VBP B-VP O
ever RB I-VP O
had VBN I-VP O
in IN B-PP O
my PRP$ B-NP O
life NN I-NP O
- : O O
whereas NNS B-NP O
everywhere RB O O
else RB O O
I PRP B-NP O
have VBP B-VP O
it PRP B-NP O
it PRP B-NP O
comes VBZ B-VP O
as IN B-PP O
a DT B-NP O
greasy NN I-NP O
, , O O
soaking VBG B-VP O
wet JJ B-NP O
piece NN I-NP O
of IN B-PP O
deep JJ B-NP O
fried JJ I-NP O
bather NN I-NP O
, , O O
this DT B-NP O
one CD I-NP O
was VBD B-VP O
flat JJ B-NP O
, , O O
slightly RB O O
moist JJ B-NP O
and CC O O
very RB O O
bready JJ B-NP B-MENU
. . O O
weird NN B-NP O
. . O O

And CC O O
that DT B-NP O
was VBD B-VP O
my PRP$ B-NP O
night NN I-NP O
in IN B-PP O
with IN B-PP O
Cari NNP B-NP O
Mela NNP I-NP O
! . O O

It PRP B-NP O
is VBZ B-VP O
our PRP$ B-NP O
family NN I-NP O
to TO B-VP O
go VB I-VP O
indian JJ B-NP O
restaurant NN I-NP O
for IN B-PP O
take NN B-NP O
out RP O O
! . O O

Literally RB O O
2 CD B-NP O
min NNS I-NP O
walk VBP B-VP O
from IN B-PP O
my PRP$ B-NP O
parents NNS I-NP O
. . O O
5 CD B-NP O
sec JJ I-NP O
walk NN I-NP O
from IN B-PP O
Charlevoix NNP B-NP O
metro NN I-NP O
. . O O

Cari NNP B-NP O
Mela NNP I-NP O
's POS B-NP O
owner NN I-NP O
was VBD B-VP O
a DT B-NP O
worker NN I-NP O
at IN B-PP O
Le NNP B-NP O
Taj NNP I-NP O
restaurant NN I-NP O
on IN B-PP O
Stanley NNP B-NP O
street NN I-NP O
; : O O
he PRP B-NP O
believes VBZ B-VP O
the DT B-NP O
owner NN I-NP O
of IN B-PP O
Le NNP B-NP O
Taj NNP I-NP O
his PRP$ B-NP O
mentor NN I-NP O
. . O O

An DT B-NP O
inspiration NN I-NP O
from IN B-PP O
Le NNP B-NP O
Taj NNP I-NP O
made VBD B-VP O
him PRP B-NP O
open VB B-VP O
his PRP$ B-NP O
own JJ I-NP O
place NN I-NP O
. . O O

I PRP B-NP O
believe VBP B-VP O
this DT B-NP O
institution NN I-NP O
has VBZ B-VP O
existed VBN I-VP O
over IN B-PP O
5 CD B-NP O
- : O O
7 CD B-NP O
years NNS I-NP O
now RB O O
. . O O

Service NNP B-NP O
top JJ I-NP O
notch NN I-NP O
5 CD I-NP O
/ NN I-NP O
5 CD I-NP O
. . O O

Friendly RB O O
, , O O
helpful JJ B-NP O
and CC O O
excellent JJ B-NP O
. . O O

Restaurant JJ B-NP O
3.5 CD I-NP O
/ JJ I-NP O
5 CD I-NP O
. . O O

Small NN B-NP O
and CC O O
cozy NN B-NP O
. . O O

There EX B-NP O
is VBZ B-VP O
a DT B-NP O
soft JJ I-NP O
drink NN I-NP O
fridge NN I-NP O
in IN B-PP O
the DT B-NP O
front NN I-NP O
, , O O
which WDT B-NP O
I PRP B-NP O
find VBP B-VP O
a DT B-NP O
miss NN I-NP O
. . O O

Food NN B-NP O
: : O O
3.5 CD B-NP O
/ $ I-NP O
5 CD I-NP O
. . O O

It PRP B-NP O
's VBZ B-VP O
either CC I-VP O
a DT B-NP O
hit NN I-NP O
or CC O O
a DT B-NP O
miss JJ I-NP O
depending NN I-NP O
of IN B-PP O
the DT B-NP O
food NN I-NP O
or CC O O
the DT B-NP O
cook NN I-NP O
. . O O

They PRP B-NP O
have VBP B-VP O
almost RB I-VP O
everything NN B-NP O
in IN B-PP O
their PRP$ B-NP O
menu NN I-NP O
as IN B-PP O
an DT B-NP O
indian JJ I-NP O
restaurant NN I-NP O
. . O O

Their PRP$ B-NP O
butter NN I-NP B-MENU
chicken NN I-NP I-MENU
specialty NN I-NP O
is VBZ B-VP O
almonds NNS B-NP O
as IN B-PP O
their PRP$ B-NP O
ingredients NNS I-NP O
, , O O
and CC O O
it PRP B-NP O
makes VBZ B-VP O
the DT B-NP O
taste NN I-NP O
sweeter NN I-NP O
. . O O

Price NN B-NP O
: : O O
4 CD B-NP O
/ NN I-NP O
5 CD I-NP O
, , O O
reasonable JJ B-NP O
. . O O

As IN B-PP O
for IN B-PP O
take NN B-NP O
out RP O O
, , O O
you PRP B-NP O
get VBP B-VP O
10 CD B-NP O
% NN I-NP O
off IN B-PP O
. . O O

Other JJ B-NP O
options NNS I-NP O
: : O O
you PRP B-NP O
can MD B-VP O
order NN B-NP O
food NN I-NP O
from IN B-PP O
Uber NNP B-NP O
Eats NNP I-NP O
, , O O
Skip NNP B-NP O
the DT I-NP O
dishes NNS I-NP O
. . O O
. . O O
. . O O

Recommended VBN B-VP O
! . O O

I PRP B-NP O
really RB O O
enjoy VB B-VP O
coming VBG I-VP O
here RB O O
for IN B-PP O
the DT B-NP O
weekend NN I-NP O
buffet NN I-NP O
, , O O
and CC O O
there EX B-NP O
is VBZ B-VP O
so RB I-VP O
much JJ B-NP O
variety NN I-NP O
for IN B-PP O
someone NN B-NP O
to TO B-VP O
be VB I-VP O
content JJ B-NP O
. . O O

Oddly RB O O
, , O O
sometimes RB O O
they PRP B-NP O
will MD B-VP O
make VB I-VP O
you PRP B-NP O
dosa VB B-VP B-MENU
and CC I-VP O
sometimes RB O O
not RB O O
upon IN B-PP O
your PRP$ B-NP O
request NN I-NP O
. . O O

Service NNP B-NP O
is VBZ B-VP O
n't RB I-VP O
all PDT B-NP O
that DT I-NP O
great JJ I-NP O
. . O O

The DT B-NP O
biggest JJS I-NP O
downside NN I-NP O
is VBZ B-VP O
that IN B-PP O
the DT B-NP O
price NN I-NP O
is VBZ B-VP O
a DT B-NP O
bit RB O O
high JJ B-NP O
for IN B-PP O
a DT B-NP O
buffet NN I-NP O
, , O O
so RB O O
be VB B-VP O
sure JJ B-NP O
to TO B-VP O
eat VB I-VP O
as RB O O
much JJ B-NP O
as IN B-PP O
possible JJ B-NP O
to TO B-VP O
get VB I-VP O
your PRP$ B-NP O
money NN I-NP O
's POS B-NP O
worth NN I-NP O
. . O O

Who WP B-NP O
knows VBZ B-VP O
. . O O
. . O O
. . O O
called VBN B-VP O
and CC I-VP O
said VBD I-VP O
were VBD I-VP O
open JJ B-NP O
, , O O
but CC O O
arrived VBD B-VP O
and CC I-VP O
said VBD I-VP O
did VBD I-VP O
n't RB O O
open VB B-VP O
till NN B-NP O
after IN B-PP O
5 CD B-NP O
PM NNP I-NP O
. . O O

This DT B-NP O
slightly RB O O
pricey JJ B-NP O
Indian JJ I-NP O
place NN I-NP O
I PRP B-NP O
have VBP B-VP O
n't RB I-VP O
tried VBN I-VP O
before IN B-PP O
had VBD B-NP O
some DT I-NP O
decent JJ I-NP O
reviews NNS I-NP O
. . O O

So IN B-PP O
we PRP B-NP O
gave VBD B-VP O
it PRP B-NP O
a DT I-NP O
shot NN I-NP O
. . O O

And CC O O
we PRP B-NP O
were VBD B-VP O
craving VBG I-VP O
Indian JJ B-NP O
. . O O

We PRP B-NP O
ordered VBD B-VP O
: : O O
Guthi NNP B-NP B-MENU
Vonkaya NNP I-NP I-MENU
Kura NNP I-NP I-MENU
Peshwari NNP I-NP B-MENU
Chana NNP I-NP I-MENU
( ( O O
both DT B-NP O
comes VBZ B-VP O
with IN B-PP O
rice NN B-NP B-MENU
) ) O O
Raita NNP B-NP B-MENU
Ok NNP I-NP O
. . O O

First NNP B-NP O
off RB O O
, , O O
the DT B-NP O
curries NNS I-NP O
were VBD B-VP O
VERY RB I-VP O
GOOD JJ B-NP O
. . O O

Just RB O O
look NN B-NP O
at IN B-PP O
the DT B-NP O
photo NN I-NP O
we PRP B-NP O
took VBD B-VP O
( ( O O
above IN B-PP O
) ) O O
Overall NNP B-NP O
, , O O
we PRP B-NP O
were VBD B-VP O
pleased JJ B-NP O
. . O O

The DT B-NP O
Kura NNP I-NP B-MENU
is VBZ B-VP O
a DT B-NP O
stuffed JJ I-NP B-MENU
Indian JJ I-NP I-MENU
eggplant NN I-NP I-MENU
, , O O
there EX B-NP O
's VBZ B-VP O
a DT B-NP O
kind NN I-NP O
of IN B-PP O
red JJ B-NP O
paste NN I-NP O
they PRP B-NP O
seem VBP B-VP O
to TO I-VP O
marinate VB I-VP O
from IN B-PP O
the DT B-NP O
inside NN I-NP O
, , O O
then RB O O
pan VB B-VP O
fried VBN I-VP O
. . O O

These DT B-NP O
kind NN I-NP O
of IN B-PP O
details NNS B-NP O
I PRP B-NP O
love VBP B-VP O
, , O O
gives VBZ B-VP O
so RB I-VP O
much JJ B-NP O
unique JJ I-NP O
flavor NN I-NP O
. . O O

The DT B-NP O
Chana NNP I-NP B-MENU
dish NN I-NP O
was VBD B-VP O
equally RB I-VP O
great JJ B-NP O
. . O O

Proper NNP B-NP O
spices NNS I-NP O
, , O O
and CC O O
deliciously RB O O
spicy NN B-NP O
. . O O

I PRP B-NP O
love VBP B-VP O
that IN B-PP O
they PRP B-NP O
made VBD B-VP O
it PRP B-NP O
proper JJ I-NP O
hot JJ I-NP O
! . O O

The DT B-NP O
raita NN I-NP B-MENU
was VBD B-VP O
the DT B-NP O
only JJ I-NP O
disappointment NN I-NP O
. . O O

Extremely RB O O
watered VBN B-VP O
out RP O O
, , O O
but CC O O
I PRP B-NP O
'm VBP B-VP O
not RB I-VP O
a DT B-NP O
fan NN I-NP O
of IN B-PP O
raw JJ B-NP O
white JJ I-NP O
onions NNS I-NP O
anyway RB O O
. . O O
. . O O
. . O O

Now RB O O
, , O O
the DT B-NP O
prices NNS I-NP O
are VBP B-VP O
normal JJ B-NP O
I PRP B-NP O
suppose VBP B-VP O
of IN B-PP O
South NNP B-NP O
Charlotte NNP I-NP O
. . O O

It PRP B-NP O
did VBD B-VP O
make VB I-VP O
me PRP B-NP O
hesitate VB B-VP O
from IN B-PP O
eating VBG B-VP O
here RB I-VP O
, , O O
until IN B-PP O
I PRP B-NP O
open VBP B-VP O
my PRP$ B-NP O
takeaway NN I-NP O
bag NN I-NP O
and CC O O
realized VBN B-VP O
that IN B-PP O
two CD B-NP O
dishes NNS I-NP O
was VBD B-VP O
enough RB I-VP O
to TO I-VP O
feed VB I-VP O
3 CD B-NP O
, , O O
4 CD B-NP O
ppl NN I-NP O
. . O O

Huge JJ B-NP O
portions NNS I-NP O
. . O O

Will MD O O
come VB B-VP O
here RB I-VP O
again RB O O
to TO B-VP O
try VB I-VP O
the DT B-NP O
daily JJ I-NP O
lunch NN I-NP O
buffet NN I-NP O
. . O O

They PRP B-NP O
also RB O O
had VBD B-VP O
lots NNS B-NP O
of IN B-PP O
South NNP B-NP O
indian JJ I-NP O
dishes NNS I-NP O
, , O O
like IN B-PP O
Kerala NNP B-NP B-MENU
Fish NNP I-NP I-MENU
Curry NNP I-NP I-MENU
. . O O

Made VBN B-VP O
me PRP B-NP O
nostalgic JJ I-NP O
about IN B-PP O
Kerala NNP B-NP O
and CC O O
spending VBG B-VP O
a DT B-NP O
few JJ I-NP O
weeks NNS I-NP O
there RB O O
for IN B-PP O
my PRP$ B-NP O
friend NN I-NP O
's POS B-NP O
wedding NN I-NP O
, , O O
eating VBG B-VP O
